City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,port lincoln,-34.7333,135.8667,285.05,89,94,6.16,AU,1720385298
83,tuy hoa,13.0833,109.3,297.53,92,85,1.56,VN,1720385299
84,puerto natales,-51.7236,-72.4875,278.4,65,75,3.6,CL,1720385301
85,serdar,38.9764,56.2757,305.0,19,80,1.48,TM,1720385303
86,keflavik,64.0049,-22.5624,284.1,87,75,9.77,IS,1720385304
87,carnarvon,-24.8667,113.6333,291.85,82,100,3.64,AU,1720385305
88,camana,-16.6228,-72.7111,289.58,85,92,4.29,PE,1720385306
89,inirida,3.8653,-67.9239,300.78,78,92,1.06,CO,1720385307
90,kangding,30.0513,101.9603,290.94,95,100,2.54,CN,1720385309
91,whakatane,-37.9585,176.9854,279.69,99,2,0.89,NZ,1720385310
92,sosnovo-ozerskoye,52.5249,111.5418,288.4,90,100,2.22,RU,1720385312
93,nogliki,51.8333,143.1667,282.95,99,100,1.9,RU,1720385313
94,maun,-19.9833,23.4167,284.13,28,0,1.03,BW,1720385314
95,kourou,5.1552,-52.6478,303.18,74,75,2.77,GF,1720385315
96,bikenibeu village,1.3673,173.1241,302.13,79,40,1.54,KI,1720385317
97,kembe,4.6228,21.8865,294.61,90,100,0.37,CF,1720385318
98,puerto baquerizo moreno,-0.9,-89.6,298.7,83,40,7.2,EC,1720385319
99,temuco,-38.7333,-72.6,284.02,83,7,1.48,CL,1720385044
100,iowa falls,42.5225,-93.2513,301.44,51,0,3.09,US,1720385321
101,zapata,26.9073,-99.2714,309.21,36,40,2.06,US,1720385322
102,senador guiomard,-10.1522,-67.7392,302.01,52,30,1.21,BR,1720385325
103,forster,-32.1667,152.5167,283.31,100,100,2.12,AU,1720385326
104,tanabe,33.7333,135.3667,299.16,92,100,1.28,JP,1720385327
105,kapa'a,22.0752,-159.319,300.48,68,100,6.69,US,1720385328
106,gadzhiyevo,69.2551,33.3362,287.69,90,100,9.38,RU,1720385329
107,saint-francois,46.4154,3.9054,288.84,73,0,1.03,FR,1720385331
108,kuqa,41.7278,82.9364,298.64,32,19,1.09,CN,1720385332
109,thompson,55.7435,-97.8558,297.24,35,40,5.66,CA,1720385333
110,saint-philippe,-21.3585,55.7679,292.92,76,2,1.68,RE,1720385334
111,lukolela,-1.0605,17.1821,297.33,58,100,1.13,CD,1720385335
112,utrik,11.2278,169.8474,300.82,81,99,6.87,MH,1720385336
113,chibougamau,49.9168,-74.3659,301.94,30,0,5.14,CA,1720385338
114,san patricio,28.017,-97.5169,307.2,66,100,8.3,US,1720385339
115,lompoc,34.6391,-120.4579,299.38,64,0,6.17,US,1720385340
116,mammoth lakes,37.6485,-118.9721,306.07,9,0,6.69,US,1720385148
117,kununurra,-15.7667,128.7333,291.14,82,75,1.54,AU,1720385342
118,pisco,-13.7,-76.2167,293.18,73,0,3.6,PE,1720385343
119,afaahiti,-17.75,-149.2833,300.08,82,72,8.81,PF,1720385344
120,touros,-5.1989,-35.4608,298.31,78,98,6.27,BR,1720385346
121,sokoni,-6.4333,39.55,298.84,65,32,6.98,TZ,1720385347
